length,width,shape
75,40,rectangle
31,94,rectangle
97,71,rectangle
26,70,rectangle
26,1,rectangle
37,53,rectangle
45,45,square
8,8,square
47,99,rectangle
93,93,square
43,31,rectangle
6,6,square
38,38,square
49,49,square
6,6,square
63,63,square
88,51,rectangle
78,63,rectangle
78,78,square
20,80,rectangle
83,83,square
25,25,square
34,34,square
23,23,square
45,50,rectangle
32,32,square
55,31,rectangle
91,98,rectangle
53,53,square
21,56,rectangle
77,61,rectangle
31,54,rectangle
48,48,square
53,86,rectangle
98,78,rectangle
91,58,rectangle
58,94,rectangle
78,35,rectangle
56,57,rectangle
3,3,square
44,44,square
54,9,rectangle
13,2,rectangle
48,48,square
57,65,rectangle
24,24,square
59,59,square
51,51,square
65,65,square
27,99,rectangle
32,32,square
3,12,rectangle
92,92,square
5,5,square
67,67,square
68,52,rectangle
1,70,rectangle
26,65,rectangle
31,77,rectangle
2,88,rectangle
14,14,square
67,67,square
6,6,square
20,20,square
54,20,rectangle
52,52,square
20,20,square
96,3,rectangle
53,10,rectangle
93,93,square
23,23,square
58,85,rectangle
72,72,square
19,19,square
69,37,rectangle
53,52,rectangle
9,9,square
50,87,rectangle
40,71,rectangle
87,3,rectangle
63,63,square
12,12,square
96,96,square
51,87,rectangle
50,51,rectangle
33,33,square
21,8,rectangle
52,52,square
48,65,rectangle
2,67,rectangle
11,11,square
63,63,square
88,89,rectangle
83,83,square
37,37,square
9,89,rectangle
72,72,square
55,59,rectangle
27,27,square
64,60,rectangle
55,43,rectangle
64,64,square
51,51,square
63,63,square
84,84,square
19,19,square
100,89,rectangle
93,93,square
17,17,square
93,93,square
50,50,square
69,69,square
28,74,rectangle
100,86,rectangle
40,40,square
9,5,rectangle
84,84,square
25,25,square
8,93,rectangle
43,32,rectangle
8,33,rectangle
54,54,square
37,50,rectangle
75,61,rectangle
50,50,square
82,69,rectangle
22,90,rectangle
10,10,square
20,8,rectangle
44,44,square
74,47,rectangle
42,89,rectangle
71,71,square
67,55,rectangle
48,48,square
23,23,square
67,93,rectangle
100,72,rectangle
85,85,square
32,32,square
22,22,square
20,83,rectangle
26,28,rectangle
39,39,square
44,18,rectangle
65,65,square
22,83,rectangle
31,47,rectangle
20,20,square
79,79,square
47,68,rectangle
18,18,square
71,71,square
65,65,square
98,98,square
91,91,square
27,27,square
78,61,rectangle
71,71,square
8,8,square
51,82,rectangle
25,83,rectangle
81,81,square
69,69,square
2,51,rectangle
43,43,square
36,36,square
6,6,square
51,51,square
54,54,square
25,25,square
24,39,rectangle
2,43,rectangle
75,75,square
82,82,square
97,96,rectangle
88,88,square
73,27,rectangle
98,98,square
2,75,rectangle
43,43,square
26,59,rectangle
62,32,rectangle
40,23,rectangle
39,39,square
76,85,rectangle
79,89,rectangle
62,62,square
54,10,rectangle
96,96,square
12,12,square
90,75,rectangle
79,50,rectangle
100,100,square
98,98,square
98,98,square
67,39,rectangle
4,1,rectangle
65,65,square
83,83,square
22,2,rectangle
57,57,square
30,30,square
13,13,square
96,25,rectangle
69,69,square
89,65,rectangle
55,25,rectangle
66,66,square
87,87,square
27,45,rectangle
66,79,rectangle
61,61,square
46,57,rectangle
93,93,square
21,10,rectangle
15,54,rectangle
52,16,rectangle
93,93,square
2,81,rectangle
45,45,square
5,5,square
74,74,square
62,62,square
30,30,square
17,7,rectangle
13,48,rectangle
85,76,rectangle
52,52,square
44,75,rectangle
36,36,square
51,51,square
42,42,square
45,45,square
95,21,rectangle
84,3,rectangle
36,98,rectangle
11,23,rectangle
81,9,rectangle
50,59,rectangle
97,82,rectangle
88,27,rectangle
59,59,square
65,84,rectangle
71,8,rectangle
79,79,square
35,35,square
84,23,rectangle
90,59,rectangle
18,18,square
93,93,square
84,40,rectangle
57,57,square
35,35,square
11,94,rectangle
44,16,rectangle
62,32,rectangle
77,77,square
55,55,square
34,34,square
82,82,square
13,75,rectangle
34,34,square
19,19,square
30,30,square
82,55,rectangle
14,24,rectangle
46,46,square
97,97,square
14,14,square
11,11,square
74,74,square
6,6,square
55,26,rectangle
62,62,square
10,10,square
63,26,rectangle
8,79,rectangle
43,43,square
91,91,square
48,19,rectangle
14,81,rectangle
24,24,square
82,82,square
40,40,square
75,75,square
94,94,square
96,75,rectangle
21,21,square
71,71,square
23,23,square
10,68,rectangle
78,91,rectangle
53,53,square
50,50,square
54,46,rectangle
44,39,rectangle
37,17,rectangle
27,24,rectangle
3,3,square
73,73,square
91,83,rectangle
42,81,rectangle
82,82,square
16,15,rectangle
62,8,rectangle
95,95,square
94,94,square
45,45,square
76,76,square
12,12,square
37,8,rectangle
42,42,square
38,88,rectangle
20,100,rectangle
84,59,rectangle
66,66,square
17,17,square
45,45,square
42,42,square
47,47,square
59,59,square
83,24,rectangle
73,73,square
74,95,rectangle
68,66,rectangle
56,56,square
20,17,rectangle
23,88,rectangle
50,27,rectangle
72,72,square
23,23,square
77,77,square
67,67,square
80,80,square
57,57,square
81,73,rectangle
70,25,rectangle
80,39,rectangle
94,94,square
76,70,rectangle
18,18,square
62,15,rectangle
29,80,rectangle
1,60,rectangle
30,30,square
88,88,square
88,88,square
36,36,square
68,79,rectangle
89,14,rectangle
4,4,square
59,39,rectangle
10,67,rectangle
46,82,rectangle
31,64,rectangle
16,16,square
62,90,rectangle
97,97,square
83,83,square
64,54,rectangle
31,30,rectangle
47,74,rectangle
9,19,rectangle
35,53,rectangle
45,33,rectangle
79,34,rectangle
91,91,square
64,64,square
81,95,rectangle
73,76,rectangle
71,71,square
70,70,square
49,39,rectangle
12,28,rectangle
51,100,rectangle
69,69,square
34,67,rectangle
67,75,rectangle
76,49,rectangle
79,21,rectangle
86,5,rectangle
73,73,square
84,53,rectangle
75,37,rectangle
58,54,rectangle
29,29,square
84,84,square
14,14,square
89,36,rectangle
11,11,square
46,46,square
60,18,rectangle
76,76,square
36,36,square
91,64,rectangle
99,99,square
45,17,rectangle
66,66,square
76,76,square
14,23,rectangle
87,87,square
47,30,rectangle
17,17,square
92,43,rectangle
34,34,square
44,44,square
20,20,square
53,53,square
43,43,square
16,83,rectangle
82,92,rectangle
96,96,square
64,64,square
99,69,rectangle
24,22,rectangle
32,18,rectangle
89,28,rectangle
10,10,square
26,26,square
63,9,rectangle
14,13,rectangle
75,83,rectangle
80,71,rectangle
48,48,square
21,21,square
11,11,square
85,85,square
52,52,square
43,56,rectangle
83,62,rectangle
95,95,square
49,49,square
41,41,square
22,82,rectangle
1,90,rectangle
36,15,rectangle
56,91,rectangle
60,31,rectangle
92,92,square
72,43,rectangle
63,63,square
23,23,square
5,5,square
54,54,square
93,55,rectangle
5,5,square
23,23,square
9,51,rectangle
26,26,square
2,2,square
30,66,rectangle
42,42,square
98,5,rectangle
35,35,square
68,68,square
73,84,rectangle
33,32,rectangle
86,86,square
97,33,rectangle
88,90,rectangle
88,88,square
48,3,rectangle
22,22,square
84,68,rectangle
69,16,rectangle
60,100,rectangle
72,38,rectangle
84,84,square
85,85,square
8,8,square
25,25,square
97,92,rectangle
91,91,square
62,42,rectangle
43,43,square
9,9,square
76,76,square
79,56,rectangle
51,51,square
86,86,square
50,44,rectangle
3,3,square
47,86,rectangle
32,66,rectangle
100,83,rectangle
28,28,square
48,48,square
53,53,square
20,20,square
76,76,square
47,47,square
62,94,rectangle
17,17,square
56,89,rectangle
69,48,rectangle
77,84,rectangle
39,51,rectangle
29,29,square
91,83,rectangle
34,89,rectangle
72,6,rectangle
65,65,square
35,69,rectangle
70,70,square
42,42,square
46,46,square
23,23,square
27,87,rectangle
35,8,rectangle
44,96,rectangle
19,19,square
85,85,square
61,61,square
10,10,square
62,62,square
55,41,rectangle
26,82,rectangle
34,63,rectangle
31,97,rectangle
85,52,rectangle
57,4,rectangle
19,19,square
98,44,rectangle
50,77,rectangle
51,51,square
38,38,square
60,60,square
19,86,rectangle
70,70,square
99,15,rectangle
3,3,square
66,13,rectangle
91,35,rectangle
43,30,rectangle
57,57,square
63,63,square
42,42,square
37,93,rectangle
84,49,rectangle
54,54,square
43,43,square
95,74,rectangle
34,13,rectangle
94,50,rectangle
88,40,rectangle
66,86,rectangle
41,41,square
78,19,rectangle
98,98,square
12,25,rectangle
41,33,rectangle
85,74,rectangle
80,80,square
60,47,rectangle
95,62,rectangle
21,21,square
78,15,rectangle
10,10,square
51,51,square
37,48,rectangle
50,95,rectangle
90,90,square
19,99,rectangle
44,18,rectangle
7,7,square
83,83,square
36,36,square
71,71,square
26,87,rectangle
19,19,square
80,46,rectangle
29,27,rectangle
63,79,rectangle
82,82,square
62,34,rectangle
7,7,square
57,73,rectangle
81,81,square
4,4,square
50,50,square
52,52,square
89,89,square
63,63,square
61,61,square
56,93,rectangle
29,29,square
83,75,rectangle
68,68,square
98,7,rectangle
99,99,square
89,54,rectangle
2,2,square
33,33,square
88,75,rectangle
54,87,rectangle
77,91,rectangle
67,87,rectangle
13,30,rectangle
94,94,square
27,27,square
51,51,square
98,98,square
71,71,square
100,100,square
29,29,square
41,41,square
57,45,rectangle
95,95,square
12,12,square
53,53,square
45,45,square
61,61,square
83,27,rectangle
94,68,rectangle
60,60,square
27,27,square
23,23,square
4,4,square
1,69,rectangle
42,42,square
72,72,square
56,19,rectangle
40,17,rectangle
27,27,square
63,62,rectangle
95,95,square
70,6,rectangle
87,28,rectangle
41,60,rectangle
95,95,square
51,51,square
57,57,square
23,23,square
18,8,rectangle
39,39,square
94,56,rectangle
8,8,square
70,88,rectangle
52,52,square
24,85,rectangle
65,65,square
47,74,rectangle
43,43,square
93,93,square
28,15,rectangle
75,58,rectangle
89,15,rectangle
24,15,rectangle
98,87,rectangle
20,20,square
53,14,rectangle
60,60,square
42,68,rectangle
99,99,square
12,12,square
49,37,rectangle
92,92,square
2,22,rectangle
30,30,square
33,84,rectangle
13,69,rectangle
95,97,rectangle
31,31,square
59,88,rectangle
5,49,rectangle
85,53,rectangle
59,59,square
63,85,rectangle
22,22,square
71,71,square
56,56,square
35,20,rectangle
29,29,square
92,92,square
44,21,rectangle
100,47,rectangle
65,65,square
2,9,rectangle
80,73,rectangle
90,90,square
96,44,rectangle
20,24,rectangle
6,6,square
48,99,rectangle
76,76,square
35,35,square
53,53,square
50,7,rectangle
75,26,rectangle
59,36,rectangle
75,96,rectangle
71,72,rectangle
86,86,square
44,23,rectangle
86,88,rectangle
25,25,square
58,2,rectangle
93,33,rectangle
64,49,rectangle
45,12,rectangle
35,35,square
89,89,square
21,21,square
54,13,rectangle
92,80,rectangle
81,81,square
80,80,square
10,26,rectangle
77,77,square
36,36,square
23,21,rectangle
25,81,rectangle
3,31,rectangle
29,29,square
88,88,square
45,45,square
51,18,rectangle
40,21,rectangle
81,61,rectangle
77,77,square
88,88,square
3,17,rectangle
28,58,rectangle
12,2,rectangle
20,69,rectangle
57,26,rectangle
71,56,rectangle
95,35,rectangle
93,54,rectangle
55,55,square
64,20,rectangle
72,91,rectangle
8,8,square
86,86,square
29,29,square
92,69,rectangle
13,46,rectangle
16,16,square
69,95,rectangle
3,3,square
43,43,square
25,57,rectangle
96,51,rectangle
48,48,square
9,99,rectangle
39,77,rectangle
33,57,rectangle
61,61,square
62,82,rectangle
9,9,square
87,28,rectangle
1,1,square
34,34,square
64,64,square
43,75,rectangle
6,57,rectangle
59,45,rectangle
24,89,rectangle
91,91,square
6,53,rectangle
62,62,square
32,33,rectangle
72,72,square
46,90,rectangle
62,62,square
7,36,rectangle
96,96,square
83,49,rectangle
54,56,rectangle
43,13,rectangle
85,85,square
17,17,square
63,63,square
62,33,rectangle
32,32,square
18,18,square
3,67,rectangle
71,71,square
42,42,square
67,44,rectangle
69,43,rectangle
62,40,rectangle
29,29,square
81,81,square
86,86,square
98,7,rectangle
83,83,square
9,9,square
64,64,square
3,20,rectangle
33,33,square
83,83,square
54,54,square
90,100,rectangle
96,86,rectangle
8,8,square
68,68,square
26,26,square
67,67,square
76,93,rectangle
3,3,square
42,42,square
26,86,rectangle
28,54,rectangle
89,59,rectangle
96,96,square
39,87,rectangle
75,33,rectangle
9,23,rectangle
90,48,rectangle
29,29,square
94,94,square
42,97,rectangle
92,92,square
23,86,rectangle
19,91,rectangle
62,62,square
54,46,rectangle
96,70,rectangle
13,93,rectangle
30,30,square
77,9,rectangle
52,52,square
59,59,square
60,74,rectangle
43,43,square
48,48,square
19,30,rectangle
64,64,square
45,44,rectangle
46,46,square
66,66,square
62,62,square
40,40,square
69,69,square
51,90,rectangle
74,74,square
91,86,rectangle
57,57,square
41,41,square
86,73,rectangle
86,7,rectangle
22,31,rectangle
66,80,rectangle
42,81,rectangle
34,34,square
85,85,square
38,4,rectangle
35,35,square
9,8,rectangle
73,73,square
13,13,square
69,69,square
25,25,square
1,1,square
25,25,square
99,24,rectangle
23,23,square
2,16,rectangle
47,47,square
52,39,rectangle
36,36,square
98,30,rectangle
50,50,square
3,84,rectangle
37,37,square
6,32,rectangle
3,13,rectangle
10,10,square
47,60,rectangle
100,23,rectangle
42,42,square
27,27,square
72,72,square
15,84,rectangle
35,57,rectangle
1,1,square
78,78,square
82,82,square
43,43,square
79,100,rectangle
67,75,rectangle
70,70,square
2,2,square
75,74,rectangle
68,68,square
77,12,rectangle
16,72,rectangle
73,73,square
47,47,square
4,4,square
80,59,rectangle
62,62,square
95,77,rectangle
10,10,square
52,52,square
18,38,rectangle
47,47,square
49,99,rectangle
46,46,square
30,72,rectangle
19,19,square
7,7,square
40,28,rectangle
86,5,rectangle
71,75,rectangle
92,18,rectangle
47,47,square
13,92,rectangle
38,38,square
22,22,square
11,51,rectangle
9,23,rectangle
56,54,rectangle
76,79,rectangle
49,54,rectangle
25,25,square
26,34,rectangle
32,32,square
3,1,rectangle
67,66,rectangle
100,100,square
34,34,square
82,12,rectangle
100,10,rectangle
35,35,square
77,77,square
96,26,rectangle
99,99,square
57,24,rectangle
91,30,rectangle
97,12,rectangle
38,20,rectangle
42,8,rectangle
2,2,square
10,9,rectangle
27,27,square
42,93,rectangle
91,11,rectangle
83,83,square
74,74,square
92,57,rectangle
97,44,rectangle
9,76,rectangle
90,90,square
79,79,square
90,37,rectangle
42,67,rectangle
16,16,square
45,94,rectangle
17,94,rectangle
41,70,rectangle
10,86,rectangle
16,16,square
46,42,rectangle
66,11,rectangle
56,56,square
41,41,square
77,81,rectangle
60,60,square
44,83,rectangle
77,77,square
85,86,rectangle
57,89,rectangle
85,73,rectangle
72,41,rectangle
1,89,rectangle
81,82,rectangle
82,82,square
84,90,rectangle
96,96,square
72,20,rectangle
2,68,rectangle
9,15,rectangle
49,49,square
57,57,square
6,38,rectangle
41,42,rectangle
54,54,square
40,40,square
94,48,rectangle
4,4,square
60,80,rectangle
15,15,square
7,7,square
37,14,rectangle
94,93,rectangle
20,20,square
76,31,rectangle
68,39,rectangle
78,6,rectangle
77,87,rectangle
51,61,rectangle
96,96,square
16,86,rectangle
96,96,square
47,47,square
42,65,rectangle
57,11,rectangle
38,38,square
58,35,rectangle
83,51,rectangle
28,28,square
6,6,square
84,55,rectangle
34,13,rectangle
33,64,rectangle
82,96,rectangle
81,81,square
67,9,rectangle
36,82,rectangle
90,86,rectangle
20,68,rectangle
10,70,rectangle
5,46,rectangle
87,87,square
73,44,rectangle
28,15,rectangle
99,78,rectangle
71,71,square
93,78,rectangle
13,13,square
11,35,rectangle
95,35,rectangle
10,10,square
100,59,rectangle
13,13,square
45,28,rectangle
88,82,rectangle
48,53,rectangle
43,43,square
19,19,square
85,46,rectangle
94,28,rectangle
67,67,square
56,56,square
4,4,square
100,100,square
98,77,rectangle
20,47,rectangle
36,83,rectangle
5,5,square
82,82,square
36,19,rectangle
92,19,rectangle
65,77,rectangle
72,72,square
3,3,square
78,78,square
19,68,rectangle
76,76,square
15,1,rectangle
65,65,square
42,42,square
37,37,square
64,64,square
22,92,rectangle
62,62,square
61,100,rectangle
75,62,rectangle
60,84,rectangle
66,66,square
53,12,rectangle
40,40,square
13,13,square
98,46,rectangle
20,20,square
92,92,square
20,57,rectangle
46,75,rectangle
85,85,square
52,57,rectangle
96,4,rectangle
86,86,square
100,28,rectangle
36,3,rectangle
15,9,rectangle
85,85,square
42,2,rectangle
3,34,rectangle
29,12,rectangle
8,52,rectangle
100,100,square
85,85,square
71,78,rectangle
54,54,square
97,68,rectangle
40,61,rectangle
68,68,square
17,14,rectangle
68,71,rectangle
97,27,rectangle
22,72,rectangle
76,41,rectangle
82,82,square
90,90,square
82,82,square
72,5,rectangle
24,96,rectangle
76,76,square
69,23,rectangle
1,1,square
52,5,rectangle
91,71,rectangle
24,24,square
58,58,square
32,32,square
95,95,square
36,36,square
55,64,rectangle
74,74,square
55,55,square
60,60,square
19,19,square
89,80,rectangle
77,15,rectangle
54,96,rectangle
68,15,rectangle
42,42,square
70,4,rectangle
92,61,rectangle
18,62,rectangle
62,62,square
69,69,square
17,17,square
61,61,square
5,4,rectangle
56,56,square
24,24,square
6,6,square
47,77,rectangle
99,69,rectangle
54,54,square
49,44,rectangle
87,87,square
21,84,rectangle
17,17,square
7,7,square
58,58,square
71,79,rectangle
64,64,square
85,68,rectangle
93,24,rectangle
71,62,rectangle
85,20,rectangle
71,19,rectangle
49,49,square
9,9,square
90,90,square
22,66,rectangle
76,24,rectangle
17,83,rectangle
6,18,rectangle
27,71,rectangle
93,93,square
1,73,rectangle
68,68,square
70,70,square
81,34,rectangle
68,68,square
85,85,square
72,72,square
54,54,square
31,31,square
16,16,square
4,4,square
13,38,rectangle
57,57,square
37,37,square
59,34,rectangle
84,84,square
37,22,rectangle
70,70,square
73,73,square
61,61,square
49,55,rectangle
7,48,rectangle
72,14,rectangle
25,50,rectangle
4,4,square
21,3,rectangle
98,98,square
28,82,rectangle
18,18,square
46,46,square
42,83,rectangle
58,58,square
33,33,square
28,78,rectangle
11,73,rectangle
84,84,square
26,26,square
7,58,rectangle
88,47,rectangle
54,55,rectangle
59,18,rectangle
26,84,rectangle
11,23,rectangle
35,54,rectangle
21,21,square
41,86,rectangle
84,18,rectangle
28,45,rectangle
65,65,square
93,93,square
82,82,square
89,3,rectangle
20,20,square
52,52,square
22,22,square
18,72,rectangle
52,52,square
20,20,square
31,49,rectangle
7,7,square
40,40,square
43,89,rectangle
10,34,rectangle
52,27,rectangle
8,63,rectangle
3,3,square
3,3,square
67,67,square
33,64,rectangle
76,28,rectangle
49,49,square
57,9,rectangle
95,95,square
100,100,square
71,71,square
44,51,rectangle
56,56,square
8,8,square
89,89,square
72,78,rectangle
92,44,rectangle
24,24,square
8,74,rectangle
68,100,rectangle
77,77,square
90,89,rectangle
44,52,rectangle
70,70,square
51,51,square
43,50,rectangle
5,46,rectangle
48,48,square
84,18,rectangle
75,74,rectangle
68,68,square
30,95,rectangle
35,35,square
9,9,square
43,43,square
85,85,square
84,3,rectangle
81,60,rectangle
29,11,rectangle
10,10,square
39,39,square
44,4,rectangle
46,55,rectangle
80,80,square
45,45,square
8,62,rectangle
54,54,square
29,29,square
47,47,square
30,29,rectangle
2,2,square
64,2,rectangle
18,18,square
49,84,rectangle
25,72,rectangle
32,96,rectangle
44,25,rectangle
98,98,square
64,64,square
69,69,square
5,62,rectangle
100,66,rectangle
74,68,rectangle
50,50,square
42,68,rectangle
48,48,square
78,47,rectangle
40,47,rectangle
62,62,square
79,43,rectangle
59,59,square
86,51,rectangle
6,6,square
84,84,square
25,25,square
15,15,square
13,31,rectangle
30,33,rectangle
78,78,square
23,23,square
19,13,rectangle
81,92,rectangle
92,92,square
94,94,square
74,74,square
38,77,rectangle
24,92,rectangle
76,85,rectangle
39,25,rectangle
87,79,rectangle
24,24,square
8,30,rectangle
13,31,rectangle
3,3,square
84,84,square
82,18,rectangle
12,65,rectangle
94,64,rectangle
53,39,rectangle
17,17,square
8,8,square
35,35,square
12,34,rectangle
36,10,rectangle
49,49,square
79,5,rectangle
57,18,rectangle
27,59,rectangle
32,28,rectangle
25,25,square
58,58,square
42,42,square
82,82,square
55,55,square
16,42,rectangle
49,97,rectangle
92,92,square
19,63,rectangle
52,17,rectangle
63,25,rectangle
7,65,rectangle
8,8,square
17,74,rectangle
98,11,rectangle
21,83,rectangle
85,45,rectangle
55,55,square
40,40,square
33,33,square
13,13,square
16,34,rectangle
40,31,rectangle
19,55,rectangle
31,31,square
66,67,rectangle
64,64,square
45,45,square
22,1,rectangle
67,6,rectangle
82,32,rectangle
67,67,square
95,95,square
48,34,rectangle
48,48,square
51,76,rectangle
4,48,rectangle
44,32,rectangle
48,48,square
1,1,square
3,71,rectangle
38,63,rectangle
84,84,square
95,95,square
82,82,square
60,9,rectangle
73,73,square
58,3,rectangle
85,85,square
14,92,rectangle
4,22,rectangle
53,96,rectangle
67,67,square
80,87,rectangle
74,84,rectangle
71,71,square
76,76,square
80,76,rectangle
52,3,rectangle
44,44,square
30,30,square
22,84,rectangle
14,74,rectangle
26,26,square
75,75,square
13,42,rectangle
40,88,rectangle
29,15,rectangle
6,91,rectangle
75,75,square
67,72,rectangle
9,9,square
42,42,square
14,14,square
64,64,square
52,27,rectangle
98,98,square
21,21,square
78,78,square
5,5,square
57,57,square
67,67,square
40,97,rectangle
50,70,rectangle
50,81,rectangle
100,100,square
12,12,square
75,19,rectangle
41,41,square
79,91,rectangle
1,84,rectangle
45,45,square
32,13,rectangle
55,55,square
96,93,rectangle
76,76,square
51,51,square
75,75,square
44,74,rectangle
57,45,rectangle
82,83,rectangle
7,7,square
90,90,square
21,21,square
38,6,rectangle
51,54,rectangle
63,14,rectangle
18,76,rectangle
85,85,square
9,38,rectangle
8,8,square
68,21,rectangle
46,13,rectangle
73,78,rectangle
32,77,rectangle
7,14,rectangle
2,2,square
89,96,rectangle
80,80,square
41,41,square
10,10,square
42,42,square
76,45,rectangle
73,73,square
79,45,rectangle
71,35,rectangle
81,27,rectangle
25,28,rectangle
84,96,rectangle
